Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3%,,0.0469387755102041,0.041015625, ,0.0604982206405694,0.0253623188405797,0.03584229390681,0.0619469026548673,0.0566037735849057, ,0.0775193798449612,0.08,0.0306513409961686,0.014218009478673,0.0284090909090909, ,0.0316205533596838,0.0598958333333333,0.0344827586206897,0.0344827586206897,0.0588235294117647, ,0.0975609756097561,0.0446096654275093,0.0411622276029056,0.0333333333333333,0.0175438596491228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0373134328358209,0.0476190476190476,0.0816326530612245,0.0444444444444444,0.0645161290322581,0,0.0377358490566038,0.0425531914893617,0.0479452054794521,0.0434782608695652,0, ,0.0316455696202532,0.0394736842105263,0.0280373831775701,0.037037037037037,0.0478468899521531,0.0377358490566038,0.0357142857142857,0.0502793296089385,0.0378548895899054,0.0537634408602151,0, ,0.0652173913043478,0.0486111111111111,0.0385674931129477
Tayto,93,,36,57, ,24,19,41,8,1, ,7,17,37,21,11, ,19,43,26,5,0, ,2,32,37,18,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,23,4,3,3,8,1,7,20,19,3,2, ,50,27,20,18,22,6,24,34,35,14,1, ,16,16,65
,6%,,0.073469387755102,0.111328125, ,0.0854092526690391,0.0688405797101449,0.146953405017921,0.0707964601769911,0.0188679245283019, ,0.0542635658914729,0.0755555555555556,0.14176245210728,0.0995260663507109,0.0625, ,0.075098814229249,0.111979166666667,0.0996168582375479,0.0574712643678161,0, ,0.024390243902439,0.118959107806691,0.0895883777239709,0.1,0.0701754385964912, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0858208955223881,0.0634920634920635,0.0612244897959184,0.0666666666666667,0.129032258064516,0.0555555555555556,0.0660377358490566,0.106382978723404,0.13013698630137,0.0652173913043478,0.181818181818182, ,0.105485232067511,0.0888157894736842,0.0934579439252336,0.0833333333333333,0.105263157894737,0.0566037735849057,0.0779220779220779,0.0949720670391061,0.110410094637224,0.0752688172043011,0.1, ,0.0869565217391304,0.111111111111111,0.0895316804407714
,27,,15,12, ,9,9,3,4,2, ,7,3,8,6,3, ,4,4,11,6,2, ,1,3,7,8,8, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6,1,2,1,0,1,4,3,6,3,0, ,9,4,1,8,5,4,7,7,4,4,0, ,6,4,19
,2%,,0.0306122448979592,0.0234375, ,0.0320284697508897,0.0326086956521739,0.010752688172043,0.0353982300884956,0.0377358490566038, ,0.0542635658914729,0.0133333333333333,0.0306513409961686,0.028436018957346,0.0170454545454545, ,0.0158102766798419,0.0104166666666667,0.0421455938697318,0.0689655172413793,0.117647058823529, ,0.0121951219512195,0.0111524163568773,0.0169491525423729,0.0444444444444444,0.140350877192982, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0223880597014925,0.0158730158730159,0.0408163265306122,0.0222222222222222,0,0.0555555555555556,0.0377358490566038,0.0159574468085106,0.0410958904109589,0.0652173913043478,0, ,0.0189873417721519,0.0131578947368421,0.00467289719626168,0.037037037037037,0.0239234449760766,0.0377358490566038,0.0227272727272727,0.0195530726256983,0.0126182965299685,0.021505376344086,0, ,0.0326086956521739,0.0277777777777778,0.0261707988980716
Dunnes Stores,28,,14,14, ,13,6,5,2,2, ,5,12,6,2,3, ,5,10,8,3,2, ,3,9,12,1,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6,1,5,3,1,0,2,4,5,1,0, ,14,4,6,6,3,6,8,10,11,5,0, ,6,7,19
,2%,,0.0285714285714286,0.02734375, ,0.0462633451957295,0.0217391304347826,0.017921146953405,0.0176991150442478,0.0377358490566038, ,0.0387596899224806,0.0533333333333333,0.0229885057471264,0.00947867298578199,0.0170454545454545, ,0.0197628458498024,0.0260416666666667,0.0306513409961686,0.0344827586206897,0.117647058823529, ,0.0365853658536585,0.033457249070632,0.0290556900726392,0.00555555555555556,0.0526315789473684, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0223880597014925,0.0158730158730159,0.102040816326531,0.0666666666666667,0.0161290322580645,0,0.0188679245283019,0.0212765957446809,0.0342465753424658,0.0217391304347826,0, ,0.029535864978903,0.0131578947368421,0.0280373831775701,0.0277777777777778,0.0143540669856459,0.0566037735849057,0.025974025974026,0.0279329608938547,0.0347003154574132,0.0268817204301075,0, ,0.0326086956521739,0.0486111111111111,0.0261707988980716
Cadbury's,267,,90,177, ,72,68,87,19,21, ,33,64,60,68,42, ,75,108,61,20,3, ,17,65,126,54,5, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,73,16,8,9,17,3,25,59,39,16,2, ,134,98,58,61,57,27,88,100,91,42,2, ,63,49,174
,17%,,0.183673469387755,0.345703125, ,0.256227758007117,0.246376811594203,0.311827956989247,0.168141592920354,0.39622641509434, ,0.255813953488372,0.284444444444444,0.229885057471264,0.322274881516588,0.238636363636364, ,0.296442687747036,0.28125,0.233716475095785,0.229885057471264,0.176470588235294, ,0.207317073170732,0.241635687732342,0.305084745762712,0.3,0.087719298245614, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.272388059701493,0.253968253968254,0.163265306122449,0.2,0.274193548387097,0.166666666666667,0.235849056603774,0.313829787234043,0.267123287671233,0.347826086956522,0.181818181818182, ,0.282700421940928,0.322368421052632,0.271028037383178,0.282407407407407,0.272727272727273,0.254716981132075,0.285714285714286,0.279329608938547,0.287066246056782,0.225806451612903,0.2, ,0.342391304347826,0.340277777777778,0.239669421487603
Powers,11,,10,1, ,0,4,4,3,0, ,1,0,6,1,3, ,4,2,3,1,1, ,3,2,6,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,2,0,1,0,2,0,2,2,0,0, ,4,4,2,5,3,2,3,3,2,3,0, ,0,0,11
,1%,,0.0204081632653061,0.001953125, ,0,0.0144927536231884,0.014336917562724,0.0265486725663717,0, ,0.00775193798449612,0,0.0229885057471264,0.004739336492891,0.0170454545454545, ,0.0158102766798419,0.00520833333333333,0.0114942528735632,0.0114942528735632,0.0588235294117647, ,0.0365853658536585,0.00743494423791822,0.0145278450363196,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.00746268656716418,0.0317460317460317,0,0.0222222222222222,0,0.111111111111111,0,0.0106382978723404,0.0136986301369863,0,0, ,0.00843881856540084,0.0131578947368421,0.00934579439252336,0.0231481481481481,0.0143540669856459,0.0188679245283019,0.00974025974025974,0.00837988826815642,0.00630914826498423,0.0161290322580645,0, ,0,0,0.0151515151515152
Lindt,53,,13,40, ,10,15,16,8,4, ,5,17,13,12,6, ,14,18,17,4,0, ,2,12,26,12,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,13,4,1,3,5,0,6,7,7,6,1, ,23,16,8,11,9,3,14,23,24,7,0, ,15,7,35
,3%,,0.026530612244898,0.078125, ,0.0355871886120996,0.0543478260869565,0.0573476702508961,0.0707964601769911,0.0754716981132075, ,0.0387596899224806,0.0755555555555556,0.0498084291187739,0.0568720379146919,0.0340909090909091, ,0.0553359683794466,0.046875,0.0651340996168582,0.0459770114942529,0, ,0.024390243902439,0.0446096654275093,0.062953995157385,0.0666666666666667,0.0175438596491228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0485074626865672,0.0634920634920635,0.0204081632653061,0.0666666666666667,0.0806451612903226,0,0.0566037735849057,0.0372340425531915,0.0479452054794521,0.130434782608696,0.0909090909090909, ,0.0485232067510548,0.0526315789473684,0.0373831775700935,0.0509259259259259,0.0430622009569378,0.0283018867924528,0.0454545454545455,0.0642458100558659,0.0757097791798107,0.0376344086021505,0, ,0.0815217391304348,0.0486111111111111,0.0482093663911846
Ballymaloe,18,,6,12, ,3,7,6,1,1, ,1,3,6,4,4, ,3,6,9,0,0, ,1,2,12,2,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,5,2,3,0,1,0,1,3,0,3,0, ,13,8,5,4,2,1,5,6,7,4,0, ,3,1,14
,1%,,0.0122448979591837,0.0234375, ,0.0106761565836299,0.0253623188405797,0.021505376344086,0.00884955752212389,0.0188679245283019, ,0.00775193798449612,0.0133333333333333,0.0229885057471264,0.018957345971564,0.0227272727272727, ,0.0118577075098814,0.015625,0.0344827586206897,0,0, ,0.0121951219512195,0.00743494423791822,0.0290556900726392,0.0111111111111111,0.0175438596491228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0186567164179104,0.0317460317460317,0.0612244897959184,0,0.0161290322580645,0,0.00943396226415094,0.0159574468085106,0,0.0652173913043478,0, ,0.0274261603375527,0.0263157894736842,0.0233644859813084,0.0185185185185185,0.00956937799043062,0.00943396226415094,0.0162337662337662,0.0167597765363128,0.0220820189274448,0.021505376344086,0, ,0.016304347826087,0.00694444444444444,0.0192837465564738
Heineken,63,,51,12, ,19,18,17,4,5, ,9,12,20,10,12, ,20,21,19,2,1, ,7,28,21,4,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19,4,4,6,3,1,10,7,5,4,0, ,33,22,16,17,19,10,28,31,28,13,0, ,3,3,59
,4%,,0.104081632653061,0.0234375, ,0.0676156583629893,0.0652173913043478,0.0609318996415771,0.0353982300884956,0.0943396226415094, ,0.0697674418604651,0.0533333333333333,0.0766283524904215,0.0473933649289099,0.0681818181818182, ,0.0790513833992095,0.0546875,0.0727969348659004,0.0229885057471264,0.0588235294117647, ,0.0853658536585366,0.104089219330855,0.0508474576271186,0.0222222222222222,0.0526315789473684, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0708955223880597,0.0634920634920635,0.0816326530612245,0.133333333333333,0.0483870967741935,0.0555555555555556,0.0943396226415094,0.0372340425531915,0.0342465753424658,0.0869565217391304,0, ,0.069620253164557,0.0723684210526316,0.0747663551401869,0.0787037037037037,0.0909090909090909,0.0943396226415094,0.0909090909090909,0.0865921787709497,0.0883280757097792,0.0698924731182796,0, ,0.016304347826087,0.0208333333333333,0.081267217630854
Other Brands,106,,56,50, ,28,28,27,17,6, ,12,18,24,22,30, ,19,42,28,12,5, ,12,25,42,16,11, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,22,8,8,6,8,1,20,16,12,4,1, ,52,32,21,9,24,12,32,38,16,25,2, ,20,13,77
,7%,,0.114285714285714,0.09765625, ,0.099644128113879,0.101449275362319,0.0967741935483871,0.150442477876106,0.113207547169811, ,0.0930232558139535,0.08,0.0919540229885057,0.104265402843602,0.170454545454545, ,0.075098814229249,0.109375,0.10727969348659,0.137931034482759,0.294117647058824, ,0.146341463414634,0.0929368029739777,0.101694915254237,0.0888888888888889,0.192982456140351, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.082089552238806,0.126984126984127,0.163265306122449,0.133333333333333,0.129032258064516,0.0555555555555556,0.188679245283019,0.0851063829787234,0.0821917808219178,0.0869565217391304,0.0909090909090909, ,0.109704641350211,0.105263157894737,0.0981308411214953,0.0416666666666667,0.114832535885167,0.113207547169811,0.103896103896104,0.106145251396648,0.0504731861198738,0.134408602150538,0.2, ,0.108695652173913,0.0902777777777778,0.106060606060606
Roses,56,,19,37, ,11,20,10,11,4, ,3,12,13,17,11, ,13,21,16,6,0, ,4,12,26,10,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,17,2,0,1,6,0,5,10,13,2,0, ,28,18,14,13,15,2,26,22,21,9,0, ,10,6,40
,4%,,0.0387755102040816,0.072265625, ,0.0391459074733096,0.072463768115942,0.03584229390681,0.0973451327433628,0.0754716981132075, ,0.0232558139534884,0.0533333333333333,0.0498084291187739,0.0805687203791469,0.0625, ,0.0513833992094862,0.0546875,0.0613026819923372,0.0689655172413793,0, ,0.0487804878048781,0.0446096654275093,0.062953995157385,0.0555555555555556,0.0701754385964912, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0634328358208955,0.0317460317460317,0,0.0222222222222222,0.0967741935483871,0,0.0471698113207547,0.0531914893617021,0.089041095890411,0.0434782608695652,0, ,0.0590717299578059,0.0592105263157895,0.0654205607476635,0.0601851851851852,0.0717703349282297,0.0188679245283019,0.0844155844155844,0.0614525139664804,0.0662460567823344,0.0483870967741935,0, ,0.0543478260869565,0.0416666666666667,0.0550964187327824
Absolut,16,,12,4, ,1,6,5,3,1, ,5,1,6,2,2, ,4,6,4,2,0, ,1,7,7,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,2,0,2,3,2,4,0,0, ,9,4,5,4,3,4,7,9,7,2,0, ,1,0,15
,1%,,0.0244897959183673,0.0078125, ,0.00355871886120996,0.0217391304347826,0.017921146953405,0.0265486725663717,0.0188679245283019, ,0.0387596899224806,0.00444444444444444,0.0229885057471264,0.00947867298578199,0.0113636363636364, ,0.0158102766798419,0.015625,0.0153256704980843,0.0229885057471264,0, ,0.0121951219512195,0.0260223048327138,0.0169491525423729,0.00555555555555556,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.00373134328358209,0.0158730158730159,0.0204081632653061,0.0444444444444444,0,0.111111111111111,0.0283018867924528,0.0106382978723404,0.0273972602739726,0,0, ,0.0189873417721519,0.0131578947368421,0.0233644859813084,0.0185185185185185,0.0143540669856459,0.0377358490566038,0.0227272727272727,0.0251396648044693,0.0220820189274448,0.010752688172043,0, ,0.00543478260869565,0,0.0206611570247934
Guinness,117,,88,29, ,39,26,39,11,2, ,10,31,34,22,20, ,33,49,22,13,0, ,10,41,38,21,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,36,14,8,9,3,3,8,19,12,4,1, ,58,49,26,36,17,24,45,50,45,22,1, ,9,12,101
,8%,,0.179591836734694,0.056640625, ,0.138790035587189,0.0942028985507246,0.139784946236559,0.0973451327433628,0.0377358490566038, ,0.0775193798449612,0.137777777777778,0.130268199233716,0.104265402843602,0.113636363636364, ,0.130434782608696,0.127604166666667,0.0842911877394636,0.149425287356322,0, ,0.121951219512195,0.152416356877323,0.0920096852300242,0.116666666666667,0.12280701754386, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.134328358208955,0.222222222222222,0.163265306122449,0.2,0.0483870967741935,0.166666666666667,0.0754716981132075,0.101063829787234,0.0821917808219178,0.0869565217391304,0.0909090909090909, ,0.122362869198312,0.161184210526316,0.121495327102804,0.166666666666667,0.0813397129186603,0.226415094339623,0.146103896103896,0.139664804469274,0.141955835962145,0.118279569892473,0.1, ,0.0489130434782609,0.0833333333333333,0.139118457300275
Quality Street,38,,17,21, ,7,16,6,7,2, ,2,4,14,11,7, ,9,16,9,4,0, ,2,10,17,6,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,17,1,0,3,4,0,6,3,2,2,0, ,20,18,8,13,11,1,12,9,8,7,0, ,5,4,29
,2%,,0.0346938775510204,0.041015625, ,0.0249110320284698,0.0579710144927536,0.021505376344086,0.0619469026548673,0.0377358490566038, ,0.0155038759689922,0.0177777777777778,0.053639846743295,0.0521327014218009,0.0397727272727273, ,0.0355731225296443,0.0416666666666667,0.0344827586206897,0.0459770114942529,0, ,0.024390243902439,0.0371747211895911,0.0411622276029056,0.0333333333333333,0.0526315789473684, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0634328358208955,0.0158730158730159,0,0.0666666666666667,0.0645161290322581,0,0.0566037735849057,0.0159574468085106,0.0136986301369863,0.0434782608695652,0, ,0.0421940928270042,0.0592105263157895,0.0373831775700935,0.0601851851851852,0.0526315789473684,0.00943396226415094,0.038961038961039,0.0251396648044693,0.0252365930599369,0.0376344086021505,0, ,0.0271739130434783,0.0277777777777778,0.0399449035812672
No Group,66,,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0
,4%,,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
TV,268,,141,127, ,64,76,80,34,14, ,19,39,71,64,75, ,67,97,72,28,4, ,14,55,125,58,15, ,1,27,7,84,16,16,10,23,6,6,73,2,13,5,19,22,17,1,36,17,0, ,0,0,0,0,0,0,0,0,0,0,0, ,104,110,72,72,40,18,85,74,78,44,1, ,27,28,216
,27%,,0.287755102040816,0.248046875, ,0.227758007117438,0.27536231884058,0.28673835125448,0.300884955752212,0.264150943396226, ,0.147286821705426,0.173333333333333,0.272030651340996,0.303317535545024,0.426136363636364, ,0.264822134387352,0.252604166666667,0.275862068965517,0.32183908045977,0.235294117647059, ,0.170731707317073,0.204460966542751,0.302663438256659,0.322222222222222,0.263157894736842, ,0.0833333333333333,0.257142857142857,0.291666666666667,0.274509803921569,0.280701754385965,0.30188679245283,0.227272727272727,0.247311827956989,0.222222222222222,0.214285714285714,0.273408239700375,0.181818181818182,0.245283018867925,0.277777777777778,0.301587301587302,0.207547169811321,0.303571428571429,0.0625,0.307692307692308,0.447368421052632,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.219409282700422,0.361842105263158,0.336448598130841,0.333333333333333,0.191387559808612,0.169811320754717,0.275974025974026,0.206703910614525,0.246056782334385,0.236559139784946,0.1, ,0.146739130434783,0.194444444444444,0.297520661157025
Radio,63,,39,24, ,22,10,20,11,0, ,1,13,15,15,19, ,7,28,16,10,2, ,6,18,28,6,5, ,0,13,0,17,0,2,3,4,1,1,16,2,4,2,4,8,2,1,14,1,0, ,0,0,0,0,0,0,0,0,0,0,0, ,44,30,18,17,13,7,16,15,20,15,0, ,6,8,50
,6%,,0.0795918367346939,0.046875, ,0.0782918149466192,0.036231884057971,0.0716845878136201,0.0973451327433628,0, ,0.00775193798449612,0.0577777777777778,0.0574712643678161,0.0710900473933649,0.107954545454545, ,0.0276679841897233,0.0729166666666667,0.0613026819923372,0.114942528735632,0.117647058823529, ,0.0731707317073171,0.0669144981412639,0.0677966101694915,0.0333333333333333,0.087719298245614, ,0,0.123809523809524,0,0.0555555555555556,0,0.0377358490566038,0.0681818181818182,0.043010752688172,0.037037037037037,0.0357142857142857,0.0599250936329588,0.181818181818182,0.0754716981132075,0.111111111111111,0.0634920634920635,0.0754716981132075,0.0357142857142857,0.0625,0.11965811965812,0.0263157894736842,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0928270042194093,0.0986842105263158,0.0841121495327103,0.0787037037037037,0.062200956937799,0.0660377358490566,0.051948051948052,0.0418994413407821,0.0630914826498423,0.0806451612903226,0, ,0.0326086956521739,0.0555555555555556,0.068870523415978
"Print media eg newspapers, magazines, flyers",49,,26,23, ,13,17,12,4,3, ,10,6,11,11,11, ,13,18,14,4,0, ,5,18,13,8,5, ,3,1,0,13,2,1,4,3,2,5,8,0,1,3,4,8,0,1,8,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,28,16,19,12,6,2,11,13,16,8,1, ,9,6,38
,5%,,0.0530612244897959,0.044921875, ,0.0462633451957295,0.0615942028985507,0.043010752688172,0.0353982300884956,0.0566037735849057, ,0.0775193798449612,0.0266666666666667,0.0421455938697318,0.0521327014218009,0.0625, ,0.0513833992094862,0.046875,0.053639846743295,0.0459770114942529,0, ,0.0609756097560976,0.0669144981412639,0.0314769975786925,0.0444444444444444,0.087719298245614, ,0.25,0.00952380952380952,0,0.042483660130719,0.0350877192982456,0.0188679245283019,0.0909090909090909,0.032258064516129,0.0740740740740741,0.178571428571429,0.0299625468164794,0,0.0188679245283019,0.166666666666667,0.0634920634920635,0.0754716981132075,0,0.0625,0.0683760683760684,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0590717299578059,0.0526315789473684,0.088785046728972,0.0555555555555556,0.0287081339712919,0.0188679245283019,0.0357142857142857,0.0363128491620112,0.0504731861198738,0.043010752688172,0.1, ,0.0489130434782609,0.0416666666666667,0.0523415977961433
"Out of Home eg billboards, posters",45,,32,13, ,19,13,9,3,1, ,9,10,10,10,6, ,10,16,13,5,1, ,1,17,13,9,5, ,0,3,1,16,5,1,2,3,1,3,9,1,3,0,6,6,1,2,9,3,0, ,0,0,0,0,0,0,0,0,0,0,0, ,20,16,16,23,6,4,10,16,17,8,1, ,6,6,35
,4%,,0.0653061224489796,0.025390625, ,0.0676156583629893,0.0471014492753623,0.032258064516129,0.0265486725663717,0.0188679245283019, ,0.0697674418604651,0.0444444444444444,0.0383141762452107,0.0473933649289099,0.0340909090909091, ,0.0395256916996047,0.0416666666666667,0.0498084291187739,0.0574712643678161,0.0588235294117647, ,0.0121951219512195,0.0631970260223048,0.0314769975786925,0.05,0.087719298245614, ,0,0.0285714285714286,0.0416666666666667,0.0522875816993464,0.087719298245614,0.0188679245283019,0.0454545454545455,0.032258064516129,0.037037037037037,0.107142857142857,0.0337078651685393,0.0909090909090909,0.0566037735849057,0,0.0952380952380952,0.0566037735849057,0.0178571428571429,0.125,0.0769230769230769,0.0789473684210526,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0421940928270042,0.0526315789473684,0.0747663551401869,0.106481481481481,0.0287081339712919,0.0377358490566038,0.0324675324675325,0.0446927374301676,0.0536277602523659,0.043010752688172,0.1, ,0.0326086956521739,0.0416666666666667,0.0482093663911846
Tiktok,62,,26,36, ,16,13,20,7,6, ,21,19,11,6,5, ,18,26,12,5,1, ,9,19,23,8,3, ,1,2,2,15,8,5,4,8,0,1,17,0,5,1,3,8,6,0,3,4,0, ,0,0,0,0,0,0,0,0,0,0,0, ,29,13,7,10,27,9,21,36,13,9,0, ,26,8,33
,6%,,0.0530612244897959,0.0703125, ,0.0569395017793594,0.0471014492753623,0.0716845878136201,0.0619469026548673,0.113207547169811, ,0.162790697674419,0.0844444444444444,0.0421455938697318,0.028436018957346,0.0284090909090909, ,0.0711462450592885,0.0677083333333333,0.0459770114942529,0.0574712643678161,0.0588235294117647, ,0.109756097560976,0.0706319702602231,0.0556900726392252,0.0444444444444444,0.0526315789473684, ,0.0833333333333333,0.019047619047619,0.0833333333333333,0.0490196078431373,0.140350877192982,0.0943396226415094,0.0909090909090909,0.0860215053763441,0,0.0357142857142857,0.0636704119850187,0,0.0943396226415094,0.0555555555555556,0.0476190476190476,0.0754716981132075,0.107142857142857,0,0.0256410256410256,0.105263157894737,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0611814345991561,0.0427631578947368,0.0327102803738318,0.0462962962962963,0.129186602870813,0.0849056603773585,0.0681818181818182,0.100558659217877,0.0410094637223975,0.0483870967741935,0, ,0.141304347826087,0.0555555555555556,0.0454545454545455
Twitter,18,,15,3, ,5,4,5,3,1, ,2,2,7,2,5, ,7,3,5,2,1, ,2,6,8,1,1, ,0,4,0,7,1,2,0,1,1,0,3,2,0,0,1,1,0,2,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,6,6,3,5,5,8,6,7,8,5,0, ,0,0,18
,2%,,0.0306122448979592,0.005859375, ,0.0177935943060498,0.0144927536231884,0.017921146953405,0.0265486725663717,0.0188679245283019, ,0.0155038759689922,0.00888888888888889,0.0268199233716475,0.00947867298578199,0.0284090909090909, ,0.0276679841897233,0.0078125,0.0191570881226054,0.0229885057471264,0.0588235294117647, ,0.024390243902439,0.0223048327137546,0.0193704600484262,0.00555555555555556,0.0175438596491228, ,0,0.0380952380952381,0,0.0228758169934641,0.0175438596491228,0.0377358490566038,0,0.010752688172043,0.037037037037037,0,0.0112359550561798,0.181818181818182,0,0,0.0158730158730159,0.00943396226415094,0,0.125,0.0256410256410256,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0126582278481013,0.0197368421052632,0.014018691588785,0.0231481481481481,0.0239234449760766,0.0754716981132075,0.0194805194805195,0.0195530726256983,0.0252365930599369,0.0268817204301075,0, ,0,0,0.0247933884297521
Facebook,106,,47,59, ,26,29,29,17,5, ,5,24,29,31,17, ,28,50,21,5,2, ,7,35,44,14,6, ,1,9,0,28,6,7,4,7,4,2,25,0,6,1,10,20,5,3,8,6,0, ,0,0,0,0,0,0,0,0,0,0,0, ,51,28,14,12,30,15,39,39,30,26,0, ,16,15,80
